zone,sum
1,0
2,0
3,0
4,0
5,1
6,2
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,57
15,2
16,15201
17,0
18,1
19,0
20,3
21,1
24,0
25,0
26,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,10
41,0
42,70
43,2
44,1
45,0
46,1
47,1
48,1
49,1
50,12
51,5
52,4
53,2
54,56
55,0
56,0
57,0
58,2
59,4
60,0
61,2
62,3
63,1
64,3
65,1
66,0
67,2
68,1
69,8
70,48
71,1
72,63
73,8058
74,2
75,4
76,298
77,0
78,0
79,0
80,79
81,24
82,61
84,2
85,0
86,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,2
102,82
103,0
104,0
105,0
106,2
107,0
108,0
110,1
111,0
112,3
113,0
114,0
115,0
116,58
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,0
129,2
130,2
131,1
132,0
133,0
134,0
135,3137
136,0
137,16
138,315
139,4
140,0
141,0
143,30
144,0
145,5
146,0
147,0
148,0
149,0
150,0
151,2
152,0
153,1
154,0
155,2
156,0
157,0
158,0
159,0
161,0
162,224
163,21520
164,0
166,0
167,0
168,1
169,0
171,77
172,1397
173,39
174,147
175,356
176,227
177,167
178,9
179,916
180,629
181,113
182,1007
183,236
184,500
185,0
186,1
187,7
188,3
189,1
190,3
191,6
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,5
202,1
203,7
204,0
205,0
206,0
207,11
208,0
209,6260
210,9
212,0
214,7
215,0
216,0
218,1304
219,0
220,0
221,0
222,54
223,6
224,22
227,0
228,0
231,0
232,0
237,0
244,0
245,0
247,0
248,0
249,0
250,0
255,1
260,0
261,0
262,0
263,0
264,0
266,0
267,0
269,0
270,0
272,0
273,0
274,0
275,0
276,0
277,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
248100,0
248200,0
248300,0
248400,0
248500,0
248600,0
258410,0
258420,0
258431,0
258432,0
258441,0
258442,0
258510,0
258520,0
258600,0
258700,0
288100,0
288200,0
288300,0
